DOY;Year;Hour;Label
132;2021;20;269.59
132;2021;21;269.59
132;2021;22;269.59
132;2021;23;269.59
133;2021;0;269.59
133;2021;1;269.59
133;2021;2;269.59
133;2021;3;269.59
133;2021;4;269.59
133;2021;5;269.59
133;2021;6;269.59
133;2021;7;269.59
133;2021;8;269.59
133;2021;9;269.59
133;2021;10;269.59
133;2021;11;269.59
133;2021;12;269.59
133;2021;13;269.59
133;2021;14;269.59
133;2021;15;269.59
133;2021;16;269.59
133;2021;17;269.59
133;2021;18;269.59
133;2021;19;269.59
133;2021;20;269.59
133;2021;21;269.59
133;2021;22;269.59
133;2021;23;269.59
134;2021;0;269.59
134;2021;1;269.59
134;2021;2;269.59
134;2021;3;269.59
134;2021;4;269.59
134;2021;5;269.59
134;2021;6;269.59
134;2021;7;269.59
134;2021;8;269.59
134;2021;9;269.59
134;2021;10;269.59
134;2021;11;269.59
134;2021;12;269.59
134;2021;13;269.59
134;2021;14;269.59
134;2021;15;269.59
134;2021;16;269.59
134;2021;17;269.59
134;2021;18;269.59
134;2021;19;269.59
134;2021;20;269.59
134;2021;21;269.59
134;2021;22;269.59
134;2021;23;269.59
135;2021;0;269.59
135;2021;1;269.59
135;2021;2;269.59
135;2021;3;269.59
135;2021;4;269.59
135;2021;5;269.59
135;2021;6;269.59
135;2021;7;269.59
135;2021;8;269.59
135;2021;9;269.59
135;2021;10;269.59
135;2021;11;269.59
135;2021;12;269.59
135;2021;13;269.59
135;2021;14;269.59
135;2021;15;269.59
135;2021;16;269.59
135;2021;17;269.59
135;2021;18;269.59
135;2021;19;269.59
135;2021;20;269.59
135;2021;21;269.59
135;2021;22;270.84
135;2021;23;271.26
136;2021;0;272.355
136;2021;1;275.37
136;2021;2;278.385
136;2021;3;280.895
136;2021;4;283.16
136;2021;5;286.44
136;2021;6;288.965
136;2021;7;289.805
136;2021;8;291.055
136;2021;9;291.23
136;2021;10;300.96
136;2021;11;300.96
136;2021;12;300.96
136;2021;13;300.96
136;2021;14;300.96
136;2021;15;300.96
136;2021;16;300.96
136;2021;17;300.96
136;2021;18;300.96
136;2021;19;315.235
136;2021;20;334.885
136;2021;21;347.05
136;2021;22;354.42
136;2021;23;361.725
137;2021;0;367.685
137;2021;1;372.305
137;2021;2;374.24
137;2021;3;376.245
137;2021;4;377.43
137;2021;5;378.18
137;2021;6;378.18
137;2021;7;378.18
137;2021;8;378.18
137;2021;9;378.18
137;2021;10;378.18
137;2021;11;378.18
137;2021;12;378.18
137;2021;13;378.18
137;2021;14;378.18
137;2021;15;378.18
137;2021;16;378.18
137;2021;17;378.18
137;2021;18;378.18
137;2021;19;378.18
137;2021;20;379.52
137;2021;21;380.2
137;2021;22;380.535
137;2021;23;381.125
138;2021;0;381.28
138;2021;1;381.52
138;2021;2;381.52
138;2021;3;381.875
138;2021;4;382.23
138;2021;5;383.06
138;2021;6;383.06
138;2021;7;383.06
138;2021;8;383.06
138;2021;9;383.06
138;2021;10;383.06
138;2021;11;383.06
138;2021;12;383.06
138;2021;13;383.06
138;2021;14;383.06
138;2021;15;383.06
138;2021;16;383.06
138;2021;17;383.06
138;2021;18;383.06
138;2021;19;383.06
138;2021;20;383.06
138;2021;21;383.06
138;2021;22;383.06
138;2021;23;383.06
139;2021;0;383.06
139;2021;1;383.06
139;2021;2;383.06
139;2021;3;383.06
139;2021;4;383.06
139;2021;5;383.06
139;2021;6;383.06
139;2021;7;383.06
139;2021;8;383.06
139;2021;9;383.06
139;2021;10;383.06
139;2021;11;383.06
139;2021;12;383.06
139;2021;13;383.06
139;2021;14;383.06
139;2021;15;383.06
139;2021;16;383.06
139;2021;17;383.06
139;2021;18;383.06
139;2021;19;383.06
139;2021;20;383.06
139;2021;21;383.06
139;2021;22;383.06
139;2021;23;383.06
140;2021;0;383.06
140;2021;1;383.06
140;2021;2;383.06
140;2021;3;383.305
140;2021;4;385.305
140;2021;5;389.75
140;2021;6;393.115
140;2021;7;393.8
140;2021;8;393.8
140;2021;9;393.8
140;2021;10;393.8
140;2021;11;393.8
140;2021;12;393.8
140;2021;13;393.8
140;2021;14;393.8
140;2021;15;393.8
140;2021;16;393.8
140;2021;17;393.8
140;2021;18;393.8
140;2021;19;393.8
140;2021;20;393.8
140;2021;21;393.8
140;2021;22;393.8
140;2021;23;393.8
141;2021;0;393.8
141;2021;1;394.725
141;2021;2;398.835
141;2021;3;403.525
141;2021;4;407.635
141;2021;5;410.565
141;2021;6;413.335
141;2021;7;414.26
141;2021;8;414.26
141;2021;9;414.26
141;2021;10;414.26
141;2021;11;414.26
141;2021;12;414.26
141;2021;13;414.26
141;2021;14;414.26
141;2021;15;414.26
141;2021;16;414.26
141;2021;17;414.26
141;2021;18;414.26
141;2021;19;414.26
141;2021;20;414.26
141;2021;21;414.26
141;2021;22;416.61
141;2021;23;444.465
142;2021;0;465.87
142;2021;1;484.925
142;2021;2;497.835
142;2021;3;508.025
142;2021;4;516.665
142;2021;5;521.86
142;2021;6;522.54
142;2021;7;522.54
142;2021;8;522.54
142;2021;9;522.54
142;2021;10;522.54
142;2021;11;522.54
142;2021;12;522.54
142;2021;13;522.54
142;2021;14;522.54
142;2021;15;522.54
142;2021;16;522.54
142;2021;17;522.54
142;2021;18;522.54
142;2021;19;522.54
142;2021;20;522.54
142;2021;21;522.54
142;2021;22;522.54
142;2021;23;522.54
143;2021;0;522.54
143;2021;1;522.54
143;2021;2;522.54
143;2021;3;522.54
143;2021;4;522.54
143;2021;5;522.54
143;2021;6;522.54
143;2021;7;522.54
143;2021;8;522.54
143;2021;9;522.54
143;2021;10;522.54
143;2021;11;522.54
143;2021;12;522.54
143;2021;13;522.54
143;2021;14;522.54
143;2021;15;522.54
143;2021;16;522.54
143;2021;17;522.54
143;2021;18;522.54
143;2021;19;522.54
143;2021;20;522.54
143;2021;21;522.54
143;2021;22;522.54
143;2021;23;522.54
144;2021;0;522.54
144;2021;1;522.54
144;2021;2;522.54
144;2021;3;522.54
144;2021;4;522.54
144;2021;5;522.54
